bank_txn_id,txn_date,amount,currency,description
BTX-9001,2026-06-24,10786.68,USD,PMT REF INV-1001 APERTURE DEV
BTX-9002,2026-07-13,4409.14,USD,ACH CREDIT ACME CORP
BTX-9003,2026-06-15,15941.87,USD,PMT REF INV-1003 NORTHWIND TRDG (FEE/FX ADJ)
BTX-9004,2026-07-11,15472.52,USD,ACH CREDIT HOOLI CONS
BTX-9005,2026-06-14,12480.7,USD,PMT REF INV-1005 WAYNE LOG
BTX-9006,2026-07-09,11838.35,USD,PMT REF INV-1006 NORTHWIND TRDG
BTX-9007,2026-06-11,8686.25,USD,PMT REF INV-1007 INITECH SOL
BTX-9008,2026-06-13,8686.25,USD,PMT REF INV-1007 INITECH SOL
BTX-9009,2026-06-04,4430.13,USD,ACH CREDIT WAYNE LOG
BTX-9010,2026-06-26,5136.27,USD,ACH CREDIT WAYNE LOG
BTX-9011,2026-07-16,5992.87,USD,PMT REF INV-1011 APERTURE DEV
BTX-9012,2026-07-12,8624.05,USD,ACH CREDIT STARK MAT
BTX-9013,2026-07-06,10086.34,USD,PMT REF INV-1013 INITECH SOL
BTX-9014,2026-07-09,7539.06,USD,PMT REF INV-1014 STARK MAT
BTX-9015,2026-07-03,9256.66,USD,PMT REF INV-1015 GLOBEX IND
BTX-9016,2026-06-10,13956.15,USD,COMBINED PMT INV-1016/INV-1017 NORTHWIND TRDG
BTX-9017,2026-06-25,7214.55,USD,PMT REF INV-1018 NORTHWIND TRDG
BTX-9018,2026-06-17,17972.18,USD,PMT REF INV-1019 SOYLENT FRT
BTX-9019,2026-07-14,16203.78,USD,COMBINED PMT INV-1020/INV-1021 ACME CORP
BTX-9020,2026-07-12,6458.2,USD,ACH CREDIT UMBRELLA SUP
BTX-9021,2026-06-30,309.23,USD,PMT REF INV-1023 GLOBEX IND
BTX-9022,2026-07-03,14155.81,USD,PMT REF INV-1024 UMBRELLA SUP
BTX-9023,2026-07-11,5696.62,USD,PMT REF INV-1025 NORTHWIND TRDG
BTX-9024,2026-06-13,3039.32,USD,PMT REF INV-1026 APERTURE DEV
BTX-9025,2026-07-07,17012.51,USD,ACH CREDIT SOYLENT FRT
BTX-9026,2026-06-08,17206.05,USD,PMT REF INV-1028 ACME CORP
BTX-9027,2026-06-16,1307.13,USD,PMT REF INV-1029 UMBRELLA SUP
BTX-9028,2026-06-07,13607.31,USD,PMT REF INV-1030 NORTHWIND TRDG
BTX-9029,2026-06-09,2593.14,USD,PMT REF INV-1031 SOYLENT FRT
BTX-9030,2026-06-11,5018.76,USD,PMT REF INV-1032 SOYLENT FRT (FEE/FX ADJ)
BTX-9031,2026-06-14,17202.67,USD,PMT REF INV-1033 STARK MAT
BTX-9032,2026-07-16,5938.82,USD,PMT REF INV-1034 INITECH SOL
BTX-9033,2026-07-01,16667.96,USD,ACH CREDIT WAYNE LOG
BTX-9034,2026-06-05,6420.06,USD,PMT REF INV-1036 INITECH SOL
BTX-9035,2026-07-08,2088.94,USD,PARTIAL PMT INV-1037 INITECH SOL
BTX-9036,2026-07-09,2180.03,USD,PARTIAL PMT INV-1037 INITECH SOL
BTX-9037,2026-06-05,16773.92,USD,PMT REF INV-1038 INITECH SOL
BTX-9038,2026-07-03,4593.58,USD,PMT REF INV-1039 NORTHWIND TRDG
BTX-9039,2026-07-08,2664.69,USD,PMT REF INV-1040 INITECH SOL
BTX-9040,2026-07-01,14986.82,USD,ACH CREDIT INITECH SOL
BTX-9041,2026-07-13,8051.07,USD,PMT REF INV-1042 NORTHWIND TRDG (FEE/FX ADJ)
BTX-9042,2026-06-04,12538.9,USD,PMT REF INV-1043 HOOLI CONS
BTX-9043,2026-06-06,7597.84,USD,PMT REF INV-1044 NORTHWIND TRDG
BTX-9044,2026-06-16,3746.52,USD,PMT REF INV-1045 NORTHWIND TRDG
BTX-9045,2026-06-18,3746.52,USD,PMT REF INV-1045 NORTHWIND TRDG
BTX-9046,2026-06-29,2808.33,USD,ACH CREDIT SOYLENT FRT
BTX-9047,2026-06-16,16209.37,USD,ACH CREDIT HOOLI CONS
BTX-9048,2026-06-07,1173.24,USD,PMT REF INV-1048 SOYLENT FRT
BTX-9049,2026-06-06,17156.2,USD,PMT REF INV-1049 ACME CORP
BTX-9050,2026-06-27,9112.95,USD,ACH CREDIT GLOBEX IND
BTX-9051,2026-06-04,1357.59,USD,PARTIAL PMT INV-1051 STARK MAT
BTX-9052,2026-06-05,1897.04,USD,PARTIAL PMT INV-1051 STARK MAT
BTX-9053,2026-06-22,7969.89,USD,PMT REF INV-1052 HOOLI CONS
BTX-9054,2026-07-13,13360.95,USD,ACH CREDIT SOYLENT FRT
BTX-9055,2026-06-14,17928.95,USD,PMT REF INV-1054 UMBRELLA SUP
BTX-9056,2026-06-16,17928.95,USD,PMT REF INV-1054 UMBRELLA SUP
BTX-9057,2026-07-05,1362.48,USD,ACH CREDIT APERTURE DEV
BTX-9058,2026-07-08,8951.39,USD,PMT REF INV-1056 ACME CORP
BTX-9059,2026-06-11,1288.05,USD,PMT REF INV-1057 SOYLENT FRT
BTX-9060,2026-06-05,11109.39,USD,PMT REF INV-1058 GLOBEX IND
BTX-9061,2026-06-29,2437.93,USD,ACH CREDIT INITECH SOL
BTX-9062,2026-06-03,11553.71,USD,PMT REF INV-1060 APERTURE DEV
BTX-9063,2026-07-07,9790.78,USD,PMT REF INV-1061 APERTURE DEV
BTX-9064,2026-07-14,13320.5,USD,ACH CREDIT INITECH SOL
