gl_id,ref_invoice_id,vendor,gl_date,amount
GL-5001,INV-1001,APERTURE DEVICES INC,2026-06-24,10786.68
GL-5002,INV-1002,ACME CORPORATION LLC,2026-07-13,4409.14
GL-5003,INV-1003,NORTHWIND TRADERS INC,2026-06-15,16063.33
GL-5004,INV-1004,HOOLI CONSULTING GROUP,2026-07-11,15472.52
GL-5005,INV-1005,WAYNE LOGISTICS INC,2026-06-14,12480.7
GL-5006,INV-1006,NORTHWIND TRADERS INC,2026-07-09,11838.35
GL-5007,INV-1007,INITECH SOLUTIONS LLC,2026-06-11,8686.25
GL-5008,INV-1009,WAYNE LOGISTICS INC,2026-06-04,4430.13
GL-5009,INV-1010,WAYNE LOGISTICS INC,2026-06-26,5136.27
GL-5010,INV-1011,APERTURE DEVICES INC,2026-07-16,5992.87
GL-5011,INV-1012,STARK MATERIALS LLC,2026-07-12,8624.05
GL-5012,INV-1013,INITECH SOLUTIONS LLC,2026-07-06,10086.34
GL-5013,INV-1014,STARK MATERIALS LLC,2026-07-08,7539.06
GL-5014,INV-1015,GLOBEX INDUSTRIES CO,2026-07-03,9256.66
GL-5015,INV-1016,NORTHWIND TRADERS INC,2026-06-10,11700.89
GL-5016,INV-1017,NORTHWIND TRADERS INC,2026-06-10,2255.26
GL-5017,INV-1018,NORTHWIND TRADERS INC,2026-06-25,7214.55
GL-5018,INV-1019,SOYLENT FREIGHT CO,2026-06-17,17972.18
GL-5019,INV-1020,ACME CORPORATION LLC,2026-07-14,13403.17
GL-5020,INV-1021,ACME CORPORATION LLC,2026-07-14,2800.61
GL-5021,INV-1022,UMBRELLA SUPPLIES CORP,2026-07-12,6458.2
GL-5022,INV-1023,GLOBEX INDUSTRIES CO,2026-06-30,309.23
GL-5023,INV-1024,UMBRELLA SUPPLIES CORP,2026-07-03,14155.81
GL-5024,INV-1025,NORTHWIND TRADERS INC,2026-07-11,5696.62
GL-5025,INV-1026,APERTURE DEVICES INC,2026-06-13,3039.32
GL-5026,INV-1027,SOYLENT FREIGHT CO,2026-07-04,17012.51
GL-5027,INV-1028,ACME CORPORATION LLC,2026-06-08,17206.05
GL-5028,INV-1029,UMBRELLA SUPPLIES CORP,2026-06-16,1307.13
GL-5029,INV-1030,NORTHWIND TRADERS INC,2026-06-06,13607.31
GL-5030,INV-1031,SOYLENT FREIGHT CO,2026-06-09,2593.14
GL-5031,INV-1032,SOYLENT FREIGHT CO,2026-06-11,5087.28
GL-5032,INV-1033,STARK MATERIALS LLC,2026-06-14,17202.67
GL-5033,INV-1034,INITECH SOLUTIONS LLC,2026-07-16,5938.82
GL-5034,INV-1035,WAYNE LOGISTICS INC,2026-06-29,16667.96
GL-5035,INV-1036,INITECH SOLUTIONS LLC,2026-06-05,6420.06
GL-5036,INV-1037,INITECH SOLUTIONS LLC,2026-07-08,4268.97
GL-5037,INV-1038,INITECH SOLUTIONS LLC,2026-06-05,16773.92
GL-5038,INV-1039,NORTHWIND TRADERS INC,2026-07-03,4593.58
GL-5039,INV-1040,INITECH SOLUTIONS LLC,2026-07-05,2664.69
GL-5040,INV-1041,INITECH SOLUTIONS LLC,2026-07-01,14986.82
GL-5041,INV-1042,NORTHWIND TRADERS INC,2026-07-13,8116.68
GL-5042,INV-1043,HOOLI CONSULTING GROUP,2026-06-04,12538.9
GL-5043,INV-1044,NORTHWIND TRADERS INC,2026-06-04,7597.84
GL-5044,INV-1045,NORTHWIND TRADERS INC,2026-06-16,3746.52
GL-5045,INV-1046,SOYLENT FREIGHT CO,2026-06-29,2808.33
GL-5046,INV-1047,HOOLI CONSULTING GROUP,2026-06-16,16209.37
GL-5047,INV-1048,SOYLENT FREIGHT CO,2026-06-07,1173.24
GL-5048,INV-1049,ACME CORPORATION LLC,2026-06-06,17156.2
GL-5049,INV-1050,GLOBEX INDUSTRIES CO,2026-06-27,9112.95
GL-5050,INV-1051,STARK MATERIALS LLC,2026-06-04,3254.63
GL-5051,INV-1052,HOOLI CONSULTING GROUP,2026-06-19,7969.89
GL-5052,INV-1053,SOYLENT FREIGHT CO,2026-07-13,13360.95
GL-5053,INV-1054,UMBRELLA SUPPLIES CORP,2026-06-14,17928.95
GL-5054,INV-1055,APERTURE DEVICES INC,2026-07-05,1362.48
GL-5055,INV-1056,ACME CORPORATION LLC,2026-07-08,8951.39
GL-5056,INV-1057,SOYLENT FREIGHT CO,2026-06-11,1288.05
GL-5057,INV-1058,GLOBEX INDUSTRIES CO,2026-06-05,11109.39
GL-5058,INV-1059,INITECH SOLUTIONS LLC,2026-06-26,2437.93
GL-5059,INV-1060,APERTURE DEVICES INC,2026-06-03,11553.71
GL-5060,INV-1061,APERTURE DEVICES INC,2026-07-07,9790.78
GL-5061,INV-1062,INITECH SOLUTIONS LLC,2026-07-13,13320.5
