invoice_id,vendor,invoice_date,amount,currency
INV-1001,Aperture Devices,2026-06-24,10786.68,USD
INV-1002,Acme Corporation,2026-07-13,4409.14,USD
INV-1003,Northwind Traders,2026-06-15,16063.33,USD
INV-1004,Hooli Consulting,2026-07-11,15472.52,USD
INV-1005,Wayne Logistics,2026-06-14,12480.7,USD
INV-1006,Northwind Traders,2026-07-09,11838.35,USD
INV-1007,Initech Solutions,2026-06-11,8686.25,USD
INV-1008,Umbrella Supplies,2026-07-11,12808.96,USD
INV-1009,Wayne Logistics,2026-06-04,4430.13,USD
INV-1010,Wayne Logistics,2026-06-26,5136.27,USD
INV-1011,Aperture Devices,2026-07-16,5992.87,USD
INV-1012,Stark Materials,2026-07-12,8624.05,USD
INV-1013,Initech Solutions,2026-07-06,10086.34,USD
INV-1014,Stark Materials,2026-07-08,7539.06,USD
INV-1015,Globex Industries,2026-07-03,9256.66,USD
INV-1016,Northwind Traders,2026-06-10,11700.89,USD
INV-1017,Northwind Traders,2026-06-10,2255.26,USD
INV-1018,Northwind Traders,2026-06-25,7214.55,USD
INV-1019,Soylent Freight,2026-06-17,17972.18,USD
INV-1020,Acme Corporation,2026-07-14,13403.17,USD
INV-1021,Acme Corporation,2026-07-14,2800.61,USD
INV-1022,Umbrella Supplies,2026-07-12,6458.2,USD
INV-1023,Globex Industries,2026-06-30,309.23,USD
INV-1024,Umbrella Supplies,2026-07-03,14155.81,USD
INV-1025,Northwind Traders,2026-07-11,5696.62,USD
INV-1026,Aperture Devices,2026-06-13,3039.32,USD
INV-1027,Soylent Freight,2026-07-04,17012.51,USD
INV-1028,Acme Corporation,2026-06-08,17206.05,USD
INV-1029,Umbrella Supplies,2026-06-16,1307.13,USD
INV-1030,Northwind Traders,2026-06-06,13607.31,USD
INV-1031,Soylent Freight,2026-06-09,2593.14,USD
INV-1032,Soylent Freight,2026-06-11,5087.28,USD
INV-1033,Stark Materials,2026-06-14,17202.67,USD
INV-1034,Initech Solutions,2026-07-16,5938.82,USD
INV-1035,Wayne Logistics,2026-06-29,16667.96,USD
INV-1036,Initech Solutions,2026-06-05,6420.06,USD
INV-1037,Initech Solutions,2026-07-08,4268.97,USD
INV-1038,Initech Solutions,2026-06-05,16773.92,USD
INV-1039,Northwind Traders,2026-07-03,4593.58,USD
INV-1040,Initech Solutions,2026-07-05,2664.69,USD
INV-1041,Initech Solutions,2026-07-01,14986.82,USD
INV-1042,Northwind Traders,2026-07-13,8116.68,USD
INV-1043,Hooli Consulting,2026-06-04,12538.9,USD
INV-1044,Northwind Traders,2026-06-04,7597.84,USD
INV-1045,Northwind Traders,2026-06-16,3746.52,USD
INV-1046,Soylent Freight,2026-06-29,2808.33,USD
INV-1047,Hooli Consulting,2026-06-16,16209.37,USD
INV-1048,Soylent Freight,2026-06-07,1173.24,USD
INV-1049,Acme Corporation,2026-06-06,17156.2,USD
INV-1050,Globex Industries,2026-06-27,9112.95,USD
INV-1051,Stark Materials,2026-06-04,3254.63,USD
INV-1052,Hooli Consulting,2026-06-19,7969.89,USD
INV-1053,Soylent Freight,2026-07-13,13360.95,USD
INV-1054,Umbrella Supplies,2026-06-14,17928.95,USD
INV-1055,Aperture Devices,2026-07-05,1362.48,USD
INV-1056,Acme Corporation,2026-07-08,8951.39,USD
INV-1057,Soylent Freight,2026-06-11,1288.05,USD
INV-1058,Globex Industries,2026-06-05,11109.39,USD
INV-1059,Initech Solutions,2026-06-26,2437.93,USD
INV-1060,Aperture Devices,2026-06-03,11553.71,USD
INV-1061,Aperture Devices,2026-07-07,9790.78,USD
INV-1062,Initech Solutions,2026-07-13,13320.5,USD
